run_accession,Age
SRR17006154,58
SRR15505510,83
SRR16994271,46
SRR23280068,59
SRR17004030,66
SRR17005888,57
SRR23280194,50
SRR16994300,69
SRR17004588,70
SRR17006096,62
SRR16993890,63
SRR23280153,45
SRR23280243,60
SRR16994872,59
SRR16994151,54
SRR23280065,52
SRR16995123,75
SRR17004380,50
SRR23279923,63
SRR16994412,68
SRR17004408,79
SRR23279981,40
SRR16995139,68
SRR16994159,78
SRR17004543,65
SRR17004535,57
SRR23279758,56
SRR23279777,51
SRR17006178,58
SRR16993950,58
SRR23280253,58
SRR17004729,66
SRR17004863,61
SRR17004217,76
SRR16994888,50
SRR16994938,61
SRR23279868,47
SRR17004022,59
SRR17004802,67
SRR23280062,68
SRR17004011,57
SRR23280114,43
SRR23280056,38
SRR16993588,62
SRR16994832,53
SRR23280179,61
SRR17004307,63
SRR16994031,57
SRR23280055,67
SRR17005934,60
SRR16994428,58
SRR23279906,48
SRR17004208,79
SRR16994282,73
SRR17004755,65
SRR17005868,73
SRR17004313,72
SRR23279832,46
SRR16994805,61
SRR17006224,56
SRR23279985,28
SRR16993931,62
SRR17005860,70
SRR17004800,55
SRR16994072,53
SRR16995084,64
SRR23279824,39
SRR17004272,79
SRR16993912,50
SRR17004241,67
SRR16994093,74
SRR16993706,60
SRR23280119,48
SRR16993649,60
SRR17004786,52
SRR23280196,54
SRR16994145,51
SRR16994323,60
SRR17005865,67
SRR16993788,71
SRR23280108,49
SRR23279782,48
SRR16993803,66
SRR17005999,74
SRR23280185,42
SRR17006177,58
SRR16994112,78
SRR17004105,68
SRR16993678,71
SRR17004634,78
SRR17004179,59
SRR16994277,61
SRR17005965,65
SRR23279909,44
SRR16995099,76
SRR16993558,52
SRR23279788,63
SRR17004910,50
SRR16994915,83
SRR17006155,58
SRR17004362,46
SRR16993764,62
SRR17004230,67
SRR16995105,74
SRR23280078,36
SRR23280233,48
SRR17006197,67
SRR16994449,52
SRR17006217,58
SRR16993670,49
SRR16994132,70
SRR17005980,66
SRR17004206,83
SRR16995044,63
SRR23280202,40
SRR17004844,75
SRR23279884,52
SRR23280183,37
SRR16994269,54
SRR17004486,51
SRR23280246,69
SRR16994826,67
SRR17004771,54
SRR23279933,68
SRR16994820,50
SRR16994435,60
SRR23280204,57
SRR17004284,74
SRR23280254,70
SRR23280249,55
SRR16994398,55
SRR16993957,66
SRR23280178,58
SRR17004787,72
SRR23280038,75
